semestre_plan	codigo	nombre_plan	sede	grupo	tipo	modalidad	periodo	creditos_guia	horas_guia	profesor	horario_original	archivo_fuente
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	17	Regular	SEMESTRE	1	1	2	SANDOVAL MORA JOSE ALBERTO	MIE[07:30-09:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	23	Regular	SEMESTRE	1	1	2	SANDOVAL MORA JOSE ALBERTO	MIE[13:00-14:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	75	Regular	SEMESTRE	1	1	2	SANDOVAL MORA JOSE ALBERTO	VIE[13:00-14:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	72	Regular	SEMESTRE	1	1	2	SOTO CORDOBA SILVIA	VIE[09:30-11:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	34	Regular	SEMESTRE	1	1	2	VARELA ROJAS IRENE	JUE[09:30-11:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	39	Regular	SEMESTRE	1	1	2	VARELA ROJAS IRENE	JUE[13:00-14:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	42	Regular	SEMESTRE	1	1	2	VARELA ROJAS IRENE	JUE[15:00-16:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	46	Regular	SEMESTRE	1	1	2	VARELA ROJAS IRENE	VIE[07:30-09:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	49	Regular	SEMESTRE	1	1	2	VARELA ROJAS IRENE	VIE[09:30-11:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	74	Regular	SEMESTRE	1	1	2	VARGAS CAMARENO MARICRUZ	VIE[13:00-14:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	33	Regular	SEMESTRE	1	1	2	VILLALTA ROMERO FABIAN	JUE[07:30-09:20]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	37	Regular	SEMESTRE	1	1	2	VILLALTA ROMERO FABIAN	JUE[13:00-14:50]	Guia de Horario de la Escuela QU.mhtml
1	QU1102	laboratorio de química básica i	CAMPUS TECNOLOGICO CENTRAL CARTAGO	45	Regular	SEMESTRE	1	1	2	VILLALTA ROMERO FABIAN	JUE[17:00-18:50]	Guia de Horario de la Escuela QU.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	4	Asistida	SEMESTRE	1	4	5	ALVARADO SOLANO ANDY	MAR[09:30-12:20] JUE[10:30-12:20]	Guia de Horario de la Escuela MA.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	20	Regular	SEMESTRE	1	4	5	AZOFEIFA CUBERO ROBERTO	SAB[07:30-12:20]	Guia de Horario de la Escuela MA.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	8	Regular	SEMESTRE	1	4	5	BORBON ALPIZAR ALEXANDER	MAR[17:00-19:50] JUE[17:00-18:50]	Guia de Horario de la Escuela MA.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	21	Regular	SEMESTRE	1	4	5	BORBON ALPIZAR ALEXANDER	MIE[17:00-19:50] VIE[17:00-18:50]	Guia de Horario de la Escuela MA.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	11	Regular	SEMESTRE	1	4	5	BRENES GOMEZ  RANDALL	MIE[07:30-10:20] VIE[07:30-09:20]	Guia de Horario de la Escuela MA.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	10	Regular	SEMESTRE	1	4	5	CORDERO QUIROS MARCIAL	MIE[07:30-09:20] VIE[07:30-10:20]	Guia de Horario de la Escuela MA.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	18	Grupo RN	SEMESTRE	1	4	5	CORDERO QUIROS MARCIAL	MIE[17:00-19:50] VIE[17:00-18:50]	Guia de Horario de la Escuela MA.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	5	Regular	SEMESTRE	1	4	5	FIGUEROA FLORES NURIA VANESSA	MAR[13:00-15:50] JUE[13:00-14:50]	Guia de Horario de la Escuela MA.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	6	Regular	SEMESTRE	1	4	5	FIGUEROA MATA GEOVANNI	MAR[15:00-16:50] JUE[15:00-17:50]	Guia de Horario de la Escuela MA.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	9	Semipresencial	SEMESTRE	1	4	5	FIGUEROA MATA GEOVANNI	MAR[18:00-20:50] JUE[18:00-19:50]	Guia de Horario de la Escuela MA.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	13	Regular	SEMESTRE	1	4	5	JIMENEZ MADRIGAL JORGE	MIE[09:30-12:20] VIE[10:30-12:20]	Guia de Horario de la Escuela MA.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	16	Regular	SEMESTRE	1	4	5	MARIN SANCHEZ MARIO	MIE[15:00-17:50] VIE[15:00-16:50]	Guia de Horario de la Escuela MA.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	2	Grupo RN	SEMESTRE	1	4	5	MARRERO CALVO MARCELA	MAR[07:30-09:20] JUE[07:30-10:20]	Guia de Horario de la Escuela MA.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	3	Regular	SEMESTRE	1	4	5	MASIS FLORES DAVID	MAR[09:30-11:20] JUE[09:30-12:20]	Guia de Horario de la Escuela MA.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	7	Grupo RN	SEMESTRE	1	4	5	MONGE FALLAS JORGE	MAR[16:00-18:50] JUE[16:00-17:50]	Guia de Horario de la Escuela MA.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	15	Regular	SEMESTRE	1	4	5	QUESADA VILLALOBOS LOURDES	MIE[13:00-15:50] VIE[13:00-14:50]	Guia de Horario de la Escuela MA.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	1	Regular	SEMESTRE	1	4	5	RAMIREZ ARCE GREIVIN	MAR[07:30-10:20] JUE[07:30-09:20]	Guia de Horario de la Escuela MA.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	17	Semipresencial	SEMESTRE	1	4	5	RAMIREZ ARCE GREIVIN	MIE[16:00-18:50] VIE[16:00-17:50]	Guia de Horario de la Escuela MA.mhtml
1	MA1102	cálculo diferencial e integral	CAMPUS TECNOLOGICO CENTRAL CARTAGO	14	Regular	SEMESTRE	1	4	5	VALVERDE SANCHEZ SAMUEL	MIE[13:00-15:50] VIE[13:00-14:50]	Guia de Horario de la Escuela MA.mhtml
